notes,uuid,link,song_name,artist,maqam,type,electric,vintage
,0be68985-d918-4b60-bb74-731c894c6ec9,https://www.youtube.com/watch?v=KAMsOGuMYV0,Zeynel Demirtaş - Oud Improvisation,Zeynel Demirtaş,Unknown,Turkish,no,no
,e756e0a0-6a5b-4543-814c-f16870776af4,https://www.youtube.com/watch?v=w78YA5wxeuI,Rosewood - A Taqsim on the Oud (Improvisation),Filip Holm,Unknown,Unknown,no,no
,549dc4fb-9619-4d78-aa8a-32524cf2eeb2,https://www.youtube.com/watch?v=-w6v87aak3w,Taqasim Rast - Oud,Michael Ibrahim,Rast,Unknown,no,no
,3bf4760a-c0ae-4e36-8073-a0ea75982beb,https://www.youtube.com/watch?v=AFZWfwCSvvA,Oud Taqsim - Peter Hanna,Peter Hanna,Nahawand,Arabic,no,no
,f2c76717-62c8-4f1e-8fdf-e8862a3f6804,https://www.youtube.com/watch?v=ERtSDNI4fe4,Arabic Oud Solo Taksim Re Saba Maqam Hesham Hamra 4k 2020,Hesham Hamra,Saba,Arabic,no,no
,36974445-9039-4333-a871-dd1f8030818b,https://www.youtube.com/watch?v=IXXmNohK9DE,Oud kembung taksim bayati,Other,Bayati,Arabic,yes,no
,dba7a32b-25e7-4829-aa88-1646d340dab5,https://www.youtube.com/watch?v=vyI9wG2sJIs,Study 'ud #1 Taqsim Nahawand Simon Shaheen سيمون شاهين,Simon Shaheen,Nahawand,Arabic,no,no
,a7e3131d-b840-4c42-88b0-13a6175e4af0,https://www.youtube.com/watch?v=0dRbJkUMdN4,YURDAL TOKCAN UD TAKSİMİ ( Nihavend),Yurdal Tokcan,Nahawand,Turkish,no,no
,6b41df46-aa47-4e2f-b496-c72be7f4740c,https://www.youtube.com/watch?v=xEnuOU0xRRQ,Taqsim Oud Nahawand,Saif Al-khayyat,Nahawand,Arabic,no,no
,3a391cf5-064f-4006-bd6e-192236564c30,https://www.youtube.com/watch?v=MgmAKcRr_J4,Oud Solo (Taqsim). Mohamad Zatari  صولو عود - محمد زعتري,Mohamad Zatari,Unknown,Arabic,no,no
,f0895c2e-6174-4827-ba3b-4b772982c1ef,https://www.youtube.com/watch?v=SEgGqKELA1Y,Taqsim oud o Taqsim Laúd Arabe - Elias Esper   تقاسيم على العود عزف الياس إسبر,Elias Esper,Unknown,Arabic,no,no
,801dea17-e636-4141-a549-115e636dbd91,https://www.youtube.com/watch?v=UMYhTOjkW3Q,Felix Aburdene - Reflections of the Past ( تأملات الماضي ) Arabic Oud Taqsim in Maqam Bayat,Felix Aburdene,Bayati,Arabic,no,no
,3907ba70-dc15-4ad2-b602-23f5eeefeb57,https://www.youtube.com/watch?v=Oe5AJkEZjf0,Hicâz Ud Taksimi - Zeynel Demirtaş ⧸⧸ Faruk Türünz Turkish Oud,Zeynel Demirtaş,Hijaz,Turkish,no,no
,0141c22f-40e9-4182-93de-d4a8d9fe4f78,https://www.youtube.com/watch?v=QEHcGdwOh_k,Taqsim Rast - 1927 Tawfic Nahat Oud,Michael Ibrahim,Rast,Arabic,no,no
,ce4ca3b4-8e06-4f8c-b31e-34135cbeb6c3,https://www.youtube.com/watch?v=s2-j9nyZh8k,Munir Bashir   Taqsim Rast The Art of Ud,Munir Bashir,Rast,Arabic,no,no
,a4e44d9b-7267-4e82-9e01-9f47f880d59f,https://www.youtube.com/watch?v=OWOgQ59Ivg0,Oud Taqsim Maqam Rast,Azrin Abdullah,Rast,Arabic,yes,no
,ad148757-0496-4533-bb3f-8376fb0d1643,https://www.youtube.com/watch?v=-VjEVQhltik,تقاسيم على عود سمبات بدروسيان 1945, Ranan Halabi,Unknown,Unknown,no,no
,d1bf945f-2d3c-4693-aae3-bb0796d01a4d,https://www.youtube.com/watch?v=gnTmBmUhpho,"Omar Abbad - Oud Taqsim, Maqam Hijaz",Omar Abbad,Hijaz,Arabic,no,no
,a4cc1c3e-9e0e-4702-8d5f-648fa6d1227d,https://www.youtube.com/watch?v=ZRFOzCJG8Vg,Taqsim Oud Maqam Nahwand (C)  Taiseer Elias - Israel,Taiseer Elias,Nahawand,Unknown,no,no
,9bc95595-d6c8-4b6f-8e7b-a00bad8368d3,https://www.youtube.com/watch?v=tGCqu7ZKdwk,Arabic OUD SOLO (Taqsim) Studio Recording by Hesham Hamra (4k),Hesham Hamra,Unknown,Arabic,no,no
,7989d263-48ca-4275-9d27-03bcd79f8640,https://www.youtube.com/watch?v=PbGJkLPvVAc,Taqsim Oud Rasd (Oud Solo),Mohamed Abdelawab,Rast,Arabic,no,yes
