notes,uuid,link,song_name,artist,maqam,type,electric,vintage
,fe6437a0-5d8c-4673-a984-aeaf360b3cfe,https://www.youtube.com/watch?v=xdrhIAdMcps,تقاسيم عود.عزف عود OUD SOLO (TAQASIM),Thaer Aljohari,Unknown,Unknown,no,no
,49adda09-4b53-439e-ae0d-63338b082d7d,https://www.youtube.com/watch?v=j8MFWAf4iw0,تقاسيم بيات ري عود. OUD solo Taqasim #oud #taqasim #oudsolo#strings #oud_music #عود #عزف_عود,Thaer Aljohari,Unknown,Unknown,no,no
,fa47f7ff-281d-4611-9384-75d4657f96d8,https://www.youtube.com/watch?v=kexA-6lI8l4,Takasiem Oud - Farid Al-Atrash تقاسيم عود 3 - فريد الأطرش,Farid Al-Atrash - فريد الأطرش,Unknown,Unknown,no,no
,33fdf421-8fc2-49f4-93fe-efc19d6adbc9,https://www.youtube.com/watch?v=p1t4Sv5ySO8,تقاسيم عود . OUD SOLO ( taqasim ),Thaer Aljohari,Unknown,Unknown,no,no
,da9e4c3a-60b6-49f5-bbc0-39980f993959,https://www.youtube.com/watch?v=S4OFn0wnAio,عود تقاسيم سيكاه 2014 oud Taqasim Sikah,Simon Shaheen سيمون شاهين,Sikah,Unknown,no,no
,746152ed-32a3-4df8-be8c-35c2bbbc9de1,https://www.youtube.com/watch?v=nL1uPG6bD0Y,تقاسيم عود الموسيقار فريد الاطرش,فن العزف,Unknown,Unknown,no,no
,c59083e5-53dd-42d4-87d4-6b31db23172d,https://www.youtube.com/watch?v=40p0XFO4Eh8,Takassem Solo OUD - تقاسيم صولو عود,Takassem Solo OUD,Unknown,Unknown,no,no
,c81ba693-32a2-485f-aba3-657651e5ac1c,https://www.youtube.com/watch?v=4St5mv_vYPw,أنغام العود ｜تسع ساعات من الموسيقى الهادئة  ｜ #oudmusic #arabicoud,DOU9NI,Unknown,Arabic,no,no
,4cda049c-7393-4cff-acf9-f6c824fd2a92,https://www.youtube.com/watch?v=MsrPBNmh5Qk,Taqseem Oud - Nasser Houari  ناصر هواري,TARAB,Unknown,Unknown,no,no
,e1b0dba3-12c6-491e-b345-fa3e7b2df862,https://www.youtube.com/watch?v=9ISXMG8ZxUA,Oud Taqasim Ajam تقاسيم عود عجم,Simon Shaheen سيمون شاهين,Ajam,Unknown,no,no
,c43e73e5-f78f-41ee-8122-1f26956aa6ae,https://www.youtube.com/watch?v=zIg90VGKfGg,Oud vibes #oud #taksim #عود #عزف #عزف_عود,Louay AlAwam,Unknown,Turkish,no,no
,6e8e631e-ca46-4629-bc42-d489797e17a2,https://www.youtube.com/watch?v=FsEDiZN9GgI,Taqasim Oud _ Nahawand  /تقاسيم عود نهاوند  /سيف الخياط,Saif Al-Khayyat سيف الخياط,Nahawand,Unknown,no,no
,07919cc1-da41-46d2-9c28-e29d7e758efc,https://www.youtube.com/watch?v=ZsSgDUtO8Ts,معزوفة #عود  #electric #oud,Multimedia,Unknown,Unknown,yes,no
,be6e6eb9-834b-4ba8-ba99-93cc50302b8b,https://www.youtube.com/watch?v=68zZ4lhM4Yk,تقاسيم عود طربيه مقام راست - Oud Solo Maqam Rast,تقاسيم عود طربيه مقام راست,Rast,Unknown,no,no
,bd290ad1-4415-4b7e-a643-8e8d24c88c44,https://www.youtube.com/watch?v=j5GDOtN2Fc8,تقاسيم عود طربية🎶🎶,ee oo,Unknown,Unknown,no,no
